id,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating
1.38E+18,20536619,Emily,TENTH WARD,42.66317304,-73.78912755,Private room in rental unit,Private room,1,,,,,56,100,0,1,5
1.39E+18,55596850,Alain,NINTH WARD,42.66002,-73.79333,Private room in rental unit,Private room,1,1,,3,$54.86,8,700,258,1,5
1.39E+18,466790114,⁨Premier Stay Co.⁩,FIFTH WARD,42.67652149,-73.78111384,Entire rental unit,Entire home/apt,2,1,1,1,$88.00,1,21,363,12,4.83
1.39E+18,55596850,Alain,NINTH WARD,42.65947528,-73.7936812,Private room in home,Private room,1,1,,3,$56.23,7,700,271,5,5
1.40E+18,116935236,F S,THIRTEENTH WARD,42.66991719,-73.78632927,Private room in rental unit,Private room,1,2,,1,$57.20,5,365,319,4,4.5
1.40E+18,55596850,Alain,FOURTEENTH WARD,42.66111606,-73.7940814,Private room in home,Private room,1,1,,3,$38.19,28,365,257,3,5
1.40E+18,32379616,Fabiola,TENTH WARD,42.6605291,-73.7831549,Entire home,Entire home/apt,5,1,4,4,$120.00,14,365,359,2,4
1.41E+18,32379616,Fabiola,TENTH WARD,42.6599033,-73.78257397,Private room in home,Private room,1,1,,1,$35.75,28,365,305,0,
1.41E+18,692671333,Paul,FOURTH WARD,42.6722593,-73.73905199,Entire rental unit,Entire home/apt,2,1,1,1,$159.00,2,28,57,7,5
1.43E+18,71003491,Yasiel,THIRD WARD,42.65665,-73.74868,Entire home,Entire home/apt,12,3.5,4,8,$540.00,2,1125,241,22,5
1.43E+18,52123673,Joseph,THIRTEENTH WARD,42.66915985,-73.78528794,Entire rental unit,Entire home/apt,6,1,3,3,$258.50,2,365,350,4,5
1.43E+18,531209536,Amar,THIRD WARD,42.65792079,-73.75026566,Entire rental unit,Entire home/apt,2,,1,,$157.00,1,365,110,1,5
1.43E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68224687,-73.7833839,Entire rental unit,Entire home/apt,4,1,1,2,$94.00,1,25,364,21,4.24
1.43E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68052557,-73.78524616,Entire rental unit,Entire home/apt,2,1,1,1,$85.00,1,21,358,7,4.43
1.44E+18,167102397,Nathan,SIXTH WARD,42.65422697,-73.76720391,Entire rental unit,Entire home/apt,2,1,1,1,$117.00,2,30,243,29,4.86
1.44E+18,130497392,Dale,SIXTH WARD,42.65759,-73.7652,Entire home,Entire home/apt,4,2,2,2,,7,90,365,0,
1.44E+18,44434571,Earl Vanze,SECOND WARD,42.64439,-73.75296,Entire rental unit,Entire home/apt,6,1,2,2,$242.00,1,365,167,35,4.6
1.44E+18,652223872,Umit,TENTH WARD,42.66035,-73.78296,Private room in rental unit,Private room,1,1,,1,$43.67,3,365,365,2,2.5
1.45E+18,52123673,Joseph,THIRTEENTH WARD,42.66951,-73.78736,Entire rental unit,Entire home/apt,4,1,3,3,$220.00,2,365,361,3,5
1.45E+18,44434571,Earl Vanze,SECOND WARD,42.64587,-73.75356,Entire rental unit,Entire home/apt,5,1,2,2,$180.00,1,365,353,15,4.73
1.45E+18,675767467,Jeffrey,SECOND WARD,42.64535,-73.75678,Entire rental unit,Entire home/apt,2,1,1,1,$75.00,1,365,319,88,4.61
1.45E+18,675767467,Jeffrey,SECOND WARD,42.64510481,-73.75712113,Entire rental unit,Entire home/apt,2,1,1,1,$75.00,1,365,323,84,4.64
1.45E+18,696324825,Martin,ELEVENTH WARD,42.67878121,-73.7821292,Room in hotel,Hotel room,4,,1,,,1,365,87,2,1
1.45E+18,172658781,Jessica,NINTH WARD,42.6561578,-73.7921126,Entire rental unit,Entire home/apt,4,1,2,2,$107.48,31,365,70,2,5
1.45E+18,466790114,⁨Premier Stay Co.⁩,FIFTH WARD,42.67619,-73.78121,Entire rental unit,Entire home/apt,2,1,1,1,$83.00,1,22,365,3,3.67
1.45E+18,466790114,⁨Premier Stay Co.⁩,FIFTH WARD,42.67639,-73.78086,Entire rental unit,Entire home/apt,2,1,1,1,$90.00,1,21,363,15,4.53
1.45E+18,466790114,⁨Premier Stay Co.⁩,FIFTH WARD,42.67612,-73.78092,Entire rental unit,Entire home/apt,2,1,1,1,$104.00,1,21,361,21,4.38
1.46E+18,37769478,Erion,TENTH WARD,42.66355585,-73.79345889,Entire rental unit,Entire home/apt,2,1,1,1,$160.00,1,1125,353,7,4.57
1.46E+18,363028988,Roland,FOURTEENTH WARD,42.6677,-73.80023,Entire condo,Entire home/apt,2,1,,1,$81.40,5,1125,300,24,4.83
1.46E+18,272907816,Angela,SECOND WARD,42.64604,-73.75419,Entire rental unit,Entire home/apt,4,1,2,1,$309.00,1,29,83,17,4.94
1.46E+18,181867269,Andres,SECOND WARD,42.64403,-73.75853,Entire condo,Entire home/apt,4,1,2,2,$199.00,1,365,322,52,4.75
1.46E+18,181867269,Andres,SECOND WARD,42.64491,-73.7594,Entire rental unit,Entire home/apt,4,1,2,2,$199.00,1,365,343,38,4.82
1.47E+18,418250661,Stephanie,THIRD WARD,42.65704,-73.75167,Entire rental unit,Entire home/apt,4,1,1,1,$132.71,14,1125,350,0,
1.47E+18,466790114,⁨Premier Stay Co.⁩,FIFTH WARD,42.67627,-73.78226,Entire rental unit,Entire home/apt,2,1,1,2,$91.00,1,21,360,6,4.5
1.47E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68022603,-73.78336881,Entire rental unit,Entire home/apt,2,1,1,1,$97.00,1,21,360,5,4.2
1.47E+18,564967431,Stephanie,SIXTH WARD,42.6511612,-73.76489494,Entire rental unit,Entire home/apt,2,1,1,1,$139.00,2,365,290,2,4
1.47E+18,47625981,Linda,FOURTH WARD,42.65791,-73.74669,Entire rental unit,Entire home/apt,2,1,1,1,$171.50,1,365,352,13,4.92
1.47E+18,20536619,Emily,TENTH WARD,42.66295,-73.78792,Private room in home,Private room,1,1,,1,$82.25,4,100,50,2,5
1.47E+18,20536619,Emily,TENTH WARD,42.66241618,-73.78837961,Private room in home,Private room,1,1,,1,$77.60,5,95,114,1,5
1.47E+18,20536619,Emily,TENTH WARD,42.66325814,-73.7898267,Private room in home,Private room,1,1,,1,$83.14,21,100,36,2,5
1.48E+18,20536619,Emily,TENTH WARD,42.66232293,-73.78771391,Private room in home,Private room,1,1,,1,$42.83,28,100,102,2,5
1.48E+18,710552538,Jonathan,THIRD WARD,42.6498098,-73.7532565,Entire condo,Entire home/apt,2,1,1,1,$120.00,2,150,164,11,5
1.48E+18,10279606,Nori,NINTH WARD,42.65547,-73.78949,Entire home,Entire home/apt,8,2.5,3,4,$485.00,1,365,315,58,4.93
1.48E+18,130497392,Dale,SIXTH WARD,42.65787364,-73.76544768,Entire rental unit,Entire home/apt,4,2,2,2,,3,90,361,0,
1.48E+18,20536619,Emily,TENTH WARD,42.66344,-73.78752,Entire home,Entire home/apt,9,1,4,4,$159.69,28,100,102,0,
1.48E+18,19648678,Ming,SIXTH WARD,42.6523779,-73.7671603,Entire rental unit,Entire home/apt,2,1,1,1,$160.00,1,365,345,36,4.97
1.48E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.67808,-73.78208,Entire rental unit,Entire home/apt,4,1,1,2,$88.00,1,21,363,5,3.8
1.48E+18,466790114,⁨Premier Stay Co.⁩,FIFTH WARD,42.67580178,-73.78036875,Entire rental unit,Entire home/apt,2,1,1,1,$83.00,1,21,359,2,4
1.48E+18,466790114,⁨Premier Stay Co.⁩,FIFTH WARD,42.67736,-73.78108,Entire rental unit,Entire home/apt,4,1,1,2,$87.00,1,21,356,10,4.2
1.48E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.6809405,-73.7846106,Entire rental unit,Entire home/apt,2,1,1,1,$90.00,1,22,357,11,4.64
1.49E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68205,-73.7846,Entire rental unit,Entire home/apt,4,1,1,2,$92.00,1,21,365,1,3
1.49E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68211,-73.78306,Entire rental unit,Entire home/apt,4,1,1,2,$87.00,1,21,362,4,3.25
1.50E+18,111760206,Rachel,SIXTH WARD,42.65334,-73.76605,Entire rental unit,Entire home/apt,3,1,1,1,$115.00,1,1125,166,47,4.87
1.50E+18,478816393,Lee,THIRD WARD,42.6567,-73.75412,Entire home,Entire home/apt,8,2,3,3,$295.20,1,1125,203,38,5
1.50E+18,534733076,Danyal,SIXTH WARD,42.65326151,-73.76980903,Private room in rental unit,Private room,2,1,,1,$67.00,2,365,71,22,4.73
1.50E+18,188679144,Elizabeth,SIXTH WARD,42.65479,-73.76274,Entire rental unit,Entire home/apt,2,1,1,1,$98.54,30,365,365,0,
1.51E+18,79099670,Nathan,SEVENTH WARD,42.64166,-73.78424,Private room in home,Private room,1,1,1,1,$126.00,1,90,136,3,5
1.51E+18,390089294,Traverse,SIXTH WARD,42.65294,-73.76511,Entire rental unit,Entire home/apt,2,1,1,1,$160.00,1,365,359,0,
1.51E+18,390089294,Traverse,FOURTH WARD,42.67410613,-73.75067767,Entire rental unit,Entire home/apt,3,1,1,1,$173.70,2,365,135,1,5
1.51E+18,390089294,Traverse,SIXTH WARD,42.65562,-73.76445,Entire home,Entire home/apt,3,1,1,1,$127.50,2,365,358,0,
1.51E+18,390089294,Traverse,SIXTH WARD,42.65426,-73.76308,Entire home,Entire home/apt,2,1,1,1,$116.00,2,365,359,1,5
1.51E+18,390089294,Traverse,SIXTH WARD,42.65228,-73.76491,Entire rental unit,Entire home/apt,2,1,1,1,$136.50,2,365,361,0,
1.51E+18,390089294,Traverse,SIXTH WARD,42.65303,-73.76101,Entire rental unit,Entire home/apt,3,1,1,1,$213.00,2,365,358,0,
1.52E+18,188679144,Elizabeth,NINTH WARD,42.65527,-73.78585,Entire rental unit,Entire home/apt,6,1,3,3,$193.23,7,365,339,1,5
1.52E+18,488778056,Kotun,TENTH WARD,42.65841,-73.78321,Entire home,Entire home/apt,8,2,4,4,$465.00,1,365,320,32,4.94
1.52E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.6817,-73.78439,Entire rental unit,Entire home/apt,2,1,1,1,$102.00,1,21,365,5,4.6
1.52E+18,37769478,Erion,SIXTH WARD,42.65393,-73.7693,Entire rental unit,Entire home/apt,2,1,1,1,$143.00,1,1125,329,13,4.85
1.52E+18,706406610,JNM Living Spaces,SIXTH WARD,42.65323354,-73.76717951,Entire rental unit,Entire home/apt,2,1,,1,$234.00,1,365,330,3,4.67
1.53E+18,478607033,Meredith,NINTH WARD,42.65539199,-73.79223162,Private room in rental unit,Private room,2,1,1,1,$106.00,1,363,125,0,
1.53E+18,37769478,Erion,SIXTH WARD,42.6542,-73.77128,Entire rental unit,Entire home/apt,4,1,2,2,$210.00,1,1125,324,27,4.96
1.53E+18,15064470,Rebecca,EIGHTH WARD,42.64273222,-73.79208774,Entire home,Entire home/apt,5,1,2,2,$185.00,1,365,282,53,5
1.53E+18,340511465,AnnMarie,NINTH WARD,42.64724,-73.79126,Private room in home,Private room,4,1,2,2,$109.00,1,365,323,12,4.75
1.54E+18,478607033,Meredith,NINTH WARD,42.65602,-73.79093,Private room in rental unit,Private room,2,1,1,1,$88.56,1,365,313,1,5
1.54E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68018,-73.78375,Entire rental unit,Entire home/apt,4,1,1,2,$115.00,1,21,351,12,4.33
1.54E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68006,-73.78465,Entire rental unit,Entire home/apt,4,1,1,2,$105.00,1,21,354,3,4
1.54E+18,455342215,Allah,FIRST WARD,42.63622,-73.76152,Entire rental unit,Entire home/apt,2,1,2,2,$82.16,1,365,351,0,
1.54E+18,476189412,Timothy,SECOND WARD,42.64685431,-73.75872251,Entire serviced apartment,Entire home/apt,4,2,2,2,$538.50,2,1125,90,17,5
1.54E+18,107206246,Furdowse,FOURTEENTH WARD,42.6588327,-73.8016217,Entire rental unit,Entire home/apt,4,1,2,2,$253.00,1,28,349,13,5
1.54E+18,349460842,Scott,TENTH WARD,42.6618257,-73.7869405,Private room in home,Private room,1,2,1,1,$71.82,28,365,312,1,5
1.55E+18,19648678,Ming,SIXTH WARD,42.65363856,-73.76603516,Entire rental unit,Entire home/apt,2,1,1,1,$119.00,1,1125,341,19,4.68
1.55E+18,349460842,Scott,TENTH WARD,42.66271914,-73.78779238,Private room in home,Private room,1,2,1,1,$71.82,28,365,320,0,
1.55E+18,147780154,Julia,EIGHTH WARD,42.65669424,-73.81901754,Entire home,Entire home/apt,4,1.5,2,2,,3,365,358,0,
1.56E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.67997,-73.78387,Entire rental unit,Entire home/apt,4,1,1,2,$95.00,1,21,365,4,3.5
1.56E+18,302714563,Sherra,SIXTH WARD,42.6508268,-73.7668402,Entire rental unit,Entire home/apt,2,1,2,2,$177.00,1,365,46,3,5
1.56E+18,188679144,Elizabeth,NINTH WARD,42.65644,-73.78689,Entire rental unit,Entire home/apt,6,1,3,3,$158.59,14,365,357,1,5
1.57E+18,706406610,JNM Living Spaces,SIXTH WARD,42.6538803,-73.7679765,Entire rental unit,Entire home/apt,2,1,,1,$148.50,2,365,288,4,4
1.57E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68137,-73.78513,Entire rental unit,Entire home/apt,2,1,1,1,$85.00,1,21,362,14,4.21
1.57E+18,233515764,Etem,SIXTH WARD,42.65195581,-73.76696732,Entire rental unit,Entire home/apt,3,1,1,3,$126.00,1,365,26,1,5
1.57E+18,413566290,Victoria,NINTH WARD,42.65524021,-73.79811075,Private room in home,Private room,1,3,8,1,$77.11,1,365,67,3,5
1.57E+18,263502162,Landing,NINTH WARD,42.65309,-73.77427,Entire rental unit,Entire home/apt,4,2,2,2,,30,365,349,2,5
1.57E+18,263502162,Landing,SIXTH WARD,42.65444884,-73.77460435,Entire rental unit,Entire home/apt,2,1,1,1,,30,365,347,2,4.5
1.57E+18,413566290,Victoria,NINTH WARD,42.65319,-73.78387,Private room in home,Private room,1,,4,,$63.05,7,365,189,4,4.75
1.58E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68146,-73.78313,Entire rental unit,Entire home/apt,2,1,1,1,$99.00,1,21,362,5,4.2
1.58E+18,466790114,⁨Premier Stay Co.⁩,ELEVENTH WARD,42.68006,-73.78386,Entire rental unit,Entire home/apt,2,1,1,1,$91.00,1,21,362,9,4
1.58E+18,121680792,Evolve,THIRTEENTH WARD,42.66958,-73.79722,Entire home,Entire home/apt,8,1,3,5,$203.50,4,1125,329,1,5
1.59E+18,61433748,Kristy,THIRD WARD,42.6550306,-73.7517294,Entire home,Entire home/apt,2,1,1,1,$190.00,1,365,11,14,4.86
1.60E+18,323992015,Tanya,EIGHTH WARD,42.64514,-73.78866,Entire home,Entire home/apt,9,2,4,5,$342.50,1,365,312,6,5
1.60E+18,739585626,Olena,SECOND WARD,42.64533778,-73.7601644,Entire townhouse,Entire home/apt,6,1,1,6,$115.00,1,365,340,2,4.5
1.60E+18,47625981,Linda,SEVENTH WARD,42.64901303,-73.76681392,Entire rental unit,Entire home/apt,5,1.5,2,2,$269.00,1,365,344,6,4.33
1.60E+18,73777155,Rich,EIGHTH WARD,42.65162,-73.81077,Entire home,Entire home/apt,4,1,2,2,$208.50,2,365,166,5,5
